DATE,NAME,INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
19/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
20/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
21/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
22/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
23/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
24/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
25/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
26/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
27/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
28/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
29/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
30/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
31/10/2016,I1,1409.01409,1,WARA,WARA1,Injector
01/11/2016,I1,1409.01409,1,WARA,WARA1,Injector
02/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
03/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
04/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
05/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
06/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
07/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
08/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
09/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
10/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
11/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
12/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
13/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
14/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
15/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
16/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
17/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
18/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
19/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
20/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
21/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
22/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
23/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
24/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
25/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
26/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
27/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
28/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
29/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
30/11/2016,I1,1188.01188,1,WARA,WARA1,Injector
01/12/2016,I1,1188.01188,1,WARA,WARA1,Injector
02/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
03/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
04/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
05/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
06/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
07/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
08/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
09/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
10/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
11/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
12/12/2016,I1,1454.01454,1,WARA,WARA1,Injector
